school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18346,G.L.P.S. Panikkarapuraya,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,107,107,0,6,5,0,1,0,0,1,7,ok,true,false,false,https://sametham.kite.kerala.gov.in/18346,2026-08-14T10:05:44.170646+00:00
18349,G.L.P.S. Paravoor,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,54,54,0,3,2,0,0,1,0,1,4,ok,true,false,false,https://sametham.kite.kerala.gov.in/18349,2026-08-14T10:05:46.171674+00:00
18352,G.L.P.S. Puthucode,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,208,208,0,8,7,0,1,0,0,1,9,ok,true,false,false,https://sametham.kite.kerala.gov.in/18352,2026-08-14T10:05:48.171705+00:00
18354,G.L.P.S. Thadathilparamba,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,134,134,0,8,5,0,2,1,0,1,9,ok,true,false,false,https://sametham.kite.kerala.gov.in/18354,2026-08-14T10:05:50.172174+00:00
18356,G.L.P.S. ThurakkaL,LPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 4,245,245,0,10,6,0,2,2,0,0,10,ok,true,false,false,https://sametham.kite.kerala.gov.in/18356,2026-08-14T10:05:52.176491+00:00
18360,G.M.L.P.S. Vazhayur,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,77,77,0,6,4,0,2,0,0,1,7,ok,true,false,false,https://sametham.kite.kerala.gov.in/18360,2026-08-14T10:05:54.187372+00:00
18362,G.L.P.S. Vettathur,LPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 4,219,219,0,10,7,0,2,1,0,0,10,ok,true,false,false,https://sametham.kite.kerala.gov.in/18362,2026-08-14T10:05:56.175859+00:00
18365,G.M.U.P.S. Arimbra,UPS,Government,Malappuram,Kondotty,Malappuram (P),1 - 7,727,298,429,27,9,7,5,6,0,2,29,ok,true,false,false,https://sametham.kite.kerala.gov.in/18365,2026-08-14T10:05:58.198476+00:00
18368,G.H.S. Chaliyappuram,HS,Government,Malappuram,Kondotty,Malappuram (P),1 -10,1023,322,340,49,11,10,4,24,0,5,54,ok,true,false,false,https://sametham.kite.kerala.gov.in/18368,2026-08-14T10:06:00.192518+00:00
18373,G.M.U.P.S. Chirayil,UPS,Government,Malappuram,Kondotty,Kondotty (M),1 - 7,1053,321,732,46,15,20,9,2,0,2,48,ok,true,false,false,https://sametham.kite.kerala.gov.in/18373,2026-08-14T10:06:02.205852+00:00
