school_code,school_name,category,sub_district,students_lp,students_up,divisions_lp,divisions_up,divisions_total,staff_lp,staff_up,staff_lp_up_shared,staff_counted,imbalance,verdict,fixation_2026_27
19313,G. M. L. P. S. Kallarmangalam,LPS,Kuttippuram,157,0,7,0,7,5,0,1,6,-1,shortfall,
19322,G. L. P. S. Kattipparuthi,LPS,Kuttippuram,69,0,4,0,4,2,0,1,3,-1,shortfall,received teachers
19324,G. M. L. P. S. Kanancheri,LPS,Kuttippuram,82,0,4,0,4,2,0,1,3,-1,shortfall,
19350,G. M. L. P. S. Valancheri,LPS,Kuttippuram,46,0,4,0,4,1,0,2,3,-1,shortfall,
19359,G. M. H. S. Karippole,HS,Kuttippuram,328,404,13,14,27,9,13,4,26,-1,shortfall,
19443,G. U. P. S. Moonniyur,UPS,Parappanangadi,193,237,9,9,18,8,5,4,17,-1,shortfall,
19449,G. W. U. P. S. Trikkulam,UPS,Parappanangadi,194,170,8,6,14,6,5,2,13,-1,shortfall,received teachers
19451,G. H. S. Trikkulam,HS,Parappanangadi,281,432,12,15,27,10,11,5,26,-1,shortfall,lost posts
19509,G. L. P. S. Purang,LPS,Ponnani,165,0,8,0,8,5,0,2,7,-1,shortfall,
19516,G. L. P. S. Veliyancode Gramam,LPS,Ponnani,47,0,4,0,4,3,0,0,3,-1,shortfall,
19519,G. M. L. P. S. Veliyancode,LPS,Ponnani,89,0,4,0,4,3,0,0,3,-1,shortfall,lost posts
19533,G. L. P. S. Kanhiramukku,UPS,Ponnani,24,6,4,1,5,4,0,0,4,-1,shortfall,
19556,GLPS Kadavanad,LPS,Ponnani,84,0,5,0,5,4,0,0,4,-1,shortfall,
19613,G. L. P. S. Kanmanam,LPS,Tanur,103,0,5,0,5,3,0,1,4,-1,shortfall,
19619,G. M. L. P. S. Manalipuzha,LPS,Tanur,68,0,5,0,5,3,0,1,4,-1,shortfall,received teachers
19661,G. M. L. P. S. Kuttippala,UPS,Tanur,206,51,9,2,11,8,0,2,10,-1,shortfall,
19662,G. L. P. S. Ozhur,UPS,Tanur,261,66,11,3,14,11,0,2,13,-1,shortfall,
19663,G. L. P. S. Pariyapuram,UPS,Tanur,220,51,9,2,11,9,0,1,10,-1,shortfall,
19713,G. M. L. P. S. Kuttayi North,LPS,Tirur,42,0,4,0,4,3,0,0,3,-1,shortfall,
19721,G. L. P. S. Mangattiri,LPS,Tirur,48,0,4,0,4,3,0,0,3,-1,shortfall,
19734,G. L. P. S. Thiruthi,LPS,Tirur,41,0,4,0,4,2,0,1,3,-1,shortfall,
19802,GMLPS Cherur,LPS,Vengara,58,0,4,0,4,3,0,0,3,-1,shortfall,
19804,GMLPS Cherukunnu,LPS,Vengara,82,0,4,0,4,3,0,0,3,-1,shortfall,
