school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
18009,GHSS POOKKOTTUR,HSS,Malappuram,412,17,24.2,
48463,Myladi GUPS,UPS,Nilambur,315,13,24.2,
19512,G. L. P. S. Theyyangad,LPS,Ponnani,458,19,24.1,
19805,GMLPS C.U. Campus,LPS,Vengara,361,15,24.1,
19868,G H S Kuruka,HS,Vengara,793,33,24.0,
48530,Pullengode GMLPS,LPS,Wandoor,192,8,24.0,
18373,G.M.U.P.S. Chirayil,UPS,Kondotty,1053,44,23.9,
48137,G H S Vettilappara,HS,Areacode,574,24,23.9,
48448,Veettikuth GLPS,LPS,Nilambur,262,11,23.8,
19543,G. M. U. P. S. Veliyancode South,UPS,Ponnani,595,25,23.8,
19774,G. M. U. P. S. Edakkanad,UPS,Tirur,404,17,23.8,
48526,Pazhedam Panampoyil GLPS,LPS,Wandoor,285,12,23.8,
18235,GMUPS Kizhisseri,UPS,Kizhisseri,522,22,23.7,
19872,GUPS Valiyora,UPS,Vengara,522,22,23.7,
48333,G.M.U.P.S. Oravambram,UPS,Melattur,593,25,23.7,
18434,G.L.P.S. Choonur,LPS,Malappuram,166,7,23.7,
18572,G.U.P.S. Elankur,UPS,Manjeri,450,19,23.7,
18471,G.M.U.P.S. Chemmankadavu,UPS,Malappuram,733,31,23.6,
19509,G. L. P. S. Purang,LPS,Ponnani,165,7,23.6,
48100,GHSS Edakkara,HSS,Nilambur,633,27,23.4,
48134,G. H. S Pannippara,HS,Areacode,844,36,23.4,
19602,G. M. L. P. S. Cherumukku,LPS,Tanur,375,16,23.4,
19840,GLPS Pukayur,LPS,Vengara,164,7,23.4,
19445,GHS Neduva,HS,Parappanangadi,467,20,23.4,
19073,GHSS Peruvallur,HSS,Vengara,606,26,23.3,
48225,GLPS Thachanna,LPS,Areacode,326,14,23.3,
19119,G. H. S. S. Ponmundam,HSS,Tanur,582,25,23.3,
18448,G.M.L.P.S. Irumbuzhi,LPS,Malappuram,256,11,23.3,
18217,GLPS Parappur,LPS,Kizhisseri,93,4,23.2,
48523,Pallisseri GLPS,LPS,Wandoor,116,5,23.2,
19024,G. H. S. S. Kattilangadi,HSS,Tanur,672,29,23.2,
48227,GLPS Thencheri,LPS,Areacode,278,12,23.2,
48214,GLPS Kozhakottur,LPS,Areacode,208,9,23.1,
19363,G. U. P. S. Koodasseri,UPS,Kuttippuram,530,23,23.0,
