school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
18315,G.M.L.P.S. Kanhiraparamba,LPS,Kondotty,222,11,20.2,
18551,G.L.P.S. Pulath,LPS,Manjeri,181,9,20.1,
18318,G.M.L.P.S. Karippur,LPS,Kondotty,261,13,20.1,
19410,G. M. U. P. S. Puthan Kadappuram,UPS,Parappanangadi,261,13,20.1,
18514,G.M.L.P.S. Edavanna,LPS,Manjeri,160,8,20.0,
18524,G.L.P.S. Kizhakkuparamba,LPS,Manjeri,180,9,20.0,
19633,G. M. L. P. S. Puthiyakadppuram North,LPS,Tanur,200,10,20.0,
48310,G.L.P.S. Kizhakkumpadam,LPS,Melattur,139,7,19.9,
19725,G. M. L. P. S. Pachattiri,LPS,Tirur,119,6,19.8,
48222,GLPS Pavanna,LPS,Areacode,99,5,19.8,
48413,GMLPS Panthalingal,LPS,Nilambur,79,4,19.8,
18010,G.V.H.S.S. Pullanur,VHSE,Malappuram,196,10,19.6,
19822,GMLPS Mampuram,LPS,Vengara,98,5,19.6,
19335,G. L. P. S. Mankeri,LPS,Kuttippuram,97,5,19.4,
19255,G. U. P. S. Vellanchery,UPS,Edappal,232,12,19.3,
19337,G. L. P. S. Melmuri,LPS,Kuttippuram,174,9,19.3,
19802,GMLPS Cherur,LPS,Vengara,58,3,19.3,
48213,GLPS Kizhuparamba South,LPS,Areacode,58,3,19.3,
48529,V.M.D Memorial Govt L.P.S Porur,LPS,Wandoor,116,6,19.3,
18555,G.L.P.S. Thottupoyil,LPS,Manjeri,154,8,19.2,
19304,G. M. L. P. S. Ayirani,LPS,Kuttippuram,77,4,19.2,
48049,G G V H S S Wandoor,VHSE,Wandoor,385,20,19.2,
19812,GLPS Klari,LPS,Vengara,173,9,19.2,
18354,G.L.P.S. Thadathilparamba,LPS,Kondotty,134,7,19.1,
18592,GMLP School ANAKKAYAM,LPS,Manjeri,57,3,19.0,
19235,G. J. B. S. Vattamkulam,LPS,Edappal,57,3,19.0,
19738,G. M. L. P. S. Valiya Parappur,LPS,Tirur,152,8,19.0,
18725,GLPS Pallikunnu,LPS,Perinthalmanna,170,9,18.9,
19306,G. L. P. S. Chellur,LPS,Kuttippuram,170,9,18.9,
19222,G. L. P. S. Perumparamba,LPS,Edappal,151,8,18.9,
48420,Mampad North GMLPS,LPS,Nilambur,151,8,18.9,
48408,GLPS Chungathara Panchayath,LPS,Nilambur,132,7,18.9,
48447,Varikkal GLPS,LPS,Nilambur,132,7,18.9,
18607,G L P S Chovana,LPS,Mankada,113,6,18.8,
19063,G.H. S. S. Kokkur,HSS,Edappal,339,18,18.8,
48422,Mankuth GLPS,LPS,Nilambur,94,5,18.8,
18234,GUPS Kadungallur,UPS,Kizhisseri,432,23,18.8,
18380,G.M.U.P.S. Vazhakkad,UPS,Kondotty,469,25,18.8,
18728,GLPS Parakkalmukku,LPS,Perinthalmanna,75,4,18.8,
19841,GLPS Thattancherimala,LPS,Vengara,56,3,18.7,
48090,G V H S S Kizhuparamba,VHSE,Areacode,205,11,18.6,
48407,Chungathara G L P S,LPS,Nilambur,149,8,18.6,
18461,G.M.L.P.S. Pookottur,UPS,Malappuram,74,4,18.5,
19345,G. L. P. S. Perumparamba Moodal,LPS,Kuttippuram,148,8,18.5,
19631,G. M. L. P. S. Ponmundam South,LPS,Tanur,111,6,18.5,
48339,G.L.P.S. Edappatta,LPS,Melattur,74,4,18.5,
18226,GLPS Valamangalam,LPS,Kizhisseri,166,9,18.4,
18717,GLPS Kappumugham,LPS,Perinthalmanna,129,7,18.4,
48539,Uthirampoyil GLPS,LPS,Wandoor,129,7,18.4,
19253,G. U. P. S. Pothanur,UPS,Edappal,257,14,18.4,
19227,G. L. P. S. Thuyyam,LPS,Edappal,55,3,18.3,
