Sl No,Educational District,Educational Sub-District (AEO),School Code,UDISE Code,School Name,Classes Approved,Students 1-4,Students 5-7,LP School Assistant posts filled (Sametham),UP School Assistant posts filled (Sametham),Sanctioned LPSA posts (to be filled by PIO),Sanctioned UPSA posts (to be filled by PIO),Vacant LPSA posts (to be filled by PIO),Vacant UPSA posts (to be filled by PIO)
211,Thirurangadi,Tanur,19622,32051100302,G. L. P. S. Nannambra,1 - 4,106,0,4,0,,,,
212,Thirurangadi,Tanur,19624,32051100103,G. M. L. P. S. Panangattur,1 - 4,163,0,7,0,,,,
213,Thirurangadi,Tanur,19626,32051100404,G. M. L. P. S. Parapputhadam,1 - 4,73,0,3,0,,,,
214,Thirurangadi,Tanur,19629,32051101103,G. L. P. S. Rayirimangalam,1 - 4,100,0,4,0,,,,
215,Thirurangadi,Tanur,19631,32051100405,G. M. L. P. S. Ponmundam South,1 - 4,111,0,4,0,,,,
216,Thirurangadi,Tanur,19633,32051100105,G. M. L. P. S. Puthiyakadppuram North,1 - 4,200,0,8,0,,,,
217,Thirurangadi,Tanur,19635,32051100108,G. L. P. S. Rayirimangalam East,1 - 4,175,0,7,0,,,,
218,Thirurangadi,Tanur,19636,32051100114,A. M. L. P. S. Kormanthala,1 - 4,132,0,7,0,,,,
219,Thirurangadi,Tanur,19637,32051100107,G. M. L. P. S. Rayirimangalam,1 - 4,88,0,4,0,,,,
220,Thirurangadi,Tanur,19640,32051100110,G. M. L. P. S. Tanur North,1 - 4,197,0,8,0,,,,
221,Thirurangadi,Tanur,19642,32051100406,G. M. L. P. S. Thalakadathur,1 - 4,72,0,3,0,,,,
222,Thirurangadi,Tanur,19644,32051100304,G. M. L. P. S. Thiruthy,1 - 4,60,0,3,0,,,,
223,Thirurangadi,Tanur,19646,32051100603,G. M. L. P. S. Valavannur,1 - 4,42,0,3,0,,,,
224,Thirurangadi,Tanur,19660,32051100202,G. L. P. S. K.Puram,1 - 5,280,81,15,0,,,,
225,Thirurangadi,Tanur,19661,32051101009,G. M. L. P. S. Kuttippala,1 - 5,206,51,8,0,,,,
226,Thirurangadi,Tanur,19662,32051100704,G. L. P. S. Ozhur,1 - 5,261,66,11,0,,,,
227,Thirurangadi,Tanur,19663,32051101102,G. L. P. S. Pariyapuram,1 - 5,220,51,9,0,,,,
228,Thirurangadi,Tanur,19664,32051100117,G. L. P. S. Tanur,1 - 5,310,107,15,0,,,,
