School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
G. M. L. P. S. Veliyancode,Tirur,Ponnani,Perumpadappa,1 - 4,573.1,MDR,Kundukadavu Vellancode Road (MDR,10.74894,75.946814
GLPS Perinthalmanna East,Malappuram,Perinthalmanna,,1 - 4,582.3,State Highway,Perumbilavu-Nilambur Road (State Highway 39,10.971887,76.232647
Adakkakundu GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,603.5,State Highway,Perumbilavu-Nilambur Road (SH39,11.163786,76.347608
G. L. P. S. Klari West,Thirurangadi,Tanur,Tanur,1 - 4,604.9,State Highway,Tirur - Malappuram - Manjeri Road (SH71,10.98592,75.96797
G. M. L. P. S. Paravannur,Tirur,Kuttippuram,Tanur,1 - 4,612.3,MDR,Puthanathani - Tirunavaya Road (MDR,10.927588,75.991885
G.M.L.P.S. Nediyiruppu,Malappuram,Kondotty,,1 - 4,613.6,MDR,Kodangad - Kunnumpuram Road (MDR,11.137528,75.983587
G U P S Odakkayam,Wandoor,Areacode,Areacode,1 - 7,633.7,MDR,Vadakkummuri - Odakkayam Road (MDR,11.274431,76.128997
GLPS Kavanur,Wandoor,Areacode,Areacode,1 - 4,638.0,MDR,Perakamanna - Kuzhiyamparamba Road (MDR,11.197194,76.055282
Mampattumoola GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,648.3,State Highway,Perumbilavu-Nilambur Road (SH39,11.221497,76.317112
Pulvetta GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,648.4,State Highway,Perumbilavu-Nilambur Road (SH39,11.113843,76.338093
G L P S Karkidakam,Malappuram,Mankada,Mankada,1 - 4,655.6,MDR,Mankada-Makkaraparamba Road (MDR,11.02328,76.16835
GMLPS Kakkooth,Malappuram,Perinthalmanna,,1 - 4,656.2,State Highway,Perumbilavu-Nilambur Road (SH39,10.983306,76.224638
G.M.L.P.S. Kanhiraparamba,Malappuram,Kondotty,,1 - 4,656.5,State Highway,Kozhikkode - Palakkad Road (SH,11.14676,75.95462
GLPS Kuniyil South,Wandoor,Areacode,Areacode,1 - 4,657.4,MDR,Kavanakkallu-Areekode Road (MDR,11.24197,76.02106
G.M.L.P.S. Karippur,Malappuram,Kondotty,Kondotty,1 - 4,662.0,MDR,Thenhipalam - Puthur Pallikkal - Airport Road (MDR,11.15096,75.94028
G. M. L. P. S. Thirurangadi,Thirurangadi,Parappanangadi,,1 - 4,662.3,State Highway,Chemmad - Kakkad Road (SH72,11.035572,75.926976
G L P S Vallikkapatta,Malappuram,Mankada,Mankada,1 - 4,664.9,MDR,Panambattachala - Vennakkode - Vellila Road (MDR,11.06234,76.14056
G.L.P.S. Pezhumthara,Wandoor,Melattur,Kalikavu,1 - 4,666.5,State Highway,Perumbilavu-Nilambur Road (SH39,11.05796,76.2899
G. M. U. P. S. Edappal,Tirur,Edappal,Ponnani,1 - 7,674.9,State Highway,Kerala State Highway 69 (SH69,10.78435,76.00155
G. M. L. P. S. Valancheri,Tirur,Kuttippuram,,1 - 4,676.1,State Highway,Valanchery - Perinthalmanna Road (SH73,10.88393,76.06842
G L P S Pang,Malappuram,Mankada,Mankada,1 - 4,677.5,MDR,Vettichira - Kadampuzha - Koottilangadi Road (MDR,10.97204,76.10226
GLPS Kizhuparamba South,Wandoor,Areacode,Areacode,1 - 4,680.7,MDR,Kavanakkallu-Areekode Road (MDR,11.24387,76.01281
Naduvakkad GLPS,Wandoor,Nilambur,Wandoor,1 - 4,711.0,MDR,Thiruvali - Mampad Road (MDR,11.24277,76.19103
GLPS Klari,Thirurangadi,Vengara,Vengara,1 - 4,723.5,State Highway,Tirur - Malappuram - Manjeri Road (SH71,10.98731,75.98458
G. M. H. S. Karippole,Tirur,Kuttippuram,Kuttippuram,1 -10,724.8,MDR,Vettichira-Poolamangalam road (MDR,10.9222,76.0301
Tharish GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,725.8,State Highway,Perumbilavu-Nilambur Road (SH39,11.125284,76.349711
G.L.P.S. Kizhakkumpadam,Wandoor,Melattur,Perinthalmanna,1 - 4,731.9,State Highway,melattut-kalikkavu Road (SH70,11.07034,76.28655
G. L. P. S. Rayirimangalam,Thirurangadi,Tanur,,1 - 4,738.0,State Highway,Tanur Poorappuzha Tippu Sulthan Road (MDR,10.99357,75.8731
G. L. P. S. Rayirimangalam East,Thirurangadi,Tanur,,1 - 4,746.6,MDR,kanoli canal road (MDR,10.990609,75.877507
G. U. P. S. Pothanur,Tirur,Edappal,Ponnani,1 - 7,749.7,MDR,Edappal - Tavanoor Road (MDR,10.821579,75.984728
G L P S Meenarkuzhi,Malappuram,Mankada,Mankada,1 - 4,751.6,MDR,Cherukulamba Vattaloor road (MDR,11.00891,76.105324
G.H. S. S. Kokkur,Tirur,Edappal,Perumpadappa,1 - 12,763.5,State Highway,Thrissur – kunnamkuklam road (SH69,10.730907,76.060525
Akkarakulam GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,766.5,State Highway,Perumbilavu-Nilambur Road (SH39,11.12351,76.292331
G.L.P.S. Melkulangara,Wandoor,Melattur,Perinthalmanna,1 - 4,784.4,MDR,Karyavattom - Alanallur Road (MDR,11.01389,76.26571
